,Freq,Genes
MGAT1,6,MGAT1
MICALCL,6,MICALCL
MIS18BP1,6,MIS18BP1
MKLN1,6,MKLN1
MMAA,6,MMAA
MMD2,6,MMD2
MMEL1,6,MMEL1
MMP12,6,MMP12
MMP20,6,MMP20
MMP3,6,MMP3
MMP7,6,MMP7
MOGAT1,6,MOGAT1
MOGS,6,MOGS
MORN1,6,MORN1
MOXD1,6,MOXD1
MPHOSPH10,6,MPHOSPH10
MRAP2,6,MRAP2
MRPS35,6,MRPS35
MRPS6,6,MRPS6
MS4A2,6,MS4A2
MSRB2,6,MSRB2
MTF1,6,MTF1
MTG2,6,MTG2
MTMR1,6,MTMR1
MTMR6,6,MTMR6
MTO1,6,MTO1
MUC15,6,MUC15
MYB,6,MYB
MYEOV,6,MYEOV
MYL10,6,MYL10
MYLK4,6,MYLK4
MYO5C,6,MYO5C
NAPEPLD,6,NAPEPLD
NBEAL1,6,NBEAL1
NBN,6,NBN
NBPF11,6,NBPF11
NCF2,6,NCF2
NCF4,6,NCF4
NCK2,6,NCK2
NCL,6,NCL
NCOA4,6,NCOA4
NCOA7,6,NCOA7
NDC80,6,NDC80
NDE1,6,NDE1
NDUFS1,6,NDUFS1
NEDD4L,6,NEDD4L
NEIL3,6,NEIL3
NEU2,6,NEU2
NEURL4,6,NEURL4
NEUROD4,6,NEUROD4
NF2,6,NF2
NFKBID,6,NFKBID
NFXL1,6,NFXL1
NGF,6,NGF
NHSL2,6,NHSL2
NIM1K,6,NIM1K
NKAIN2,6,NKAIN2
NKRF,6,NKRF
NKX2-1,6,NKX2-1
NKX6-1,6,NKX6-1
NLGN2,6,NLGN2
NLN,6,NLN
NLRC3,6,NLRC3
NMNAT2,6,NMNAT2
NMT1,6,NMT1
NOD1,6,NOD1
NOP14,6,NOP14
NOX1,6,NOX1
NPAT,6,NPAT
NR2E1,6,NR2E1
NSF,6,NSF
NSMAF,6,NSMAF
NT5DC1,6,NT5DC1
NTHL1,6,NTHL1
NUP107,6,NUP107
NUP160,6,NUP160
NUPL1,6,NUPL1
NXPE2,6,NXPE2
OAS1,6,OAS1
OAS3,6,OAS3
OASL,6,OASL
OIT3,6,OIT3
OLFML2A,6,OLFML2A
OPA1,6,OPA1
OPN1SW,6,OPN1SW
OPTN,6,OPTN
OR10H2,6,OR10H2
OR10H5,6,OR10H5
OR13C9,6,OR13C9
OR13D1,6,OR13D1
OR14J1,6,OR14J1
OR1J2,6,OR1J2
OR4F15,6,OR4F15
OR51A2,6,OR51A2
OR51B2,6,OR51B2
OR52N5,6,OR52N5
OR56A5,6,OR56A5
OR5AP2,6,OR5AP2
OR6B2,6,OR6B2
OR6C68,6,OR6C68
OR6C76,6,OR6C76
OR7A17,6,OR7A17
OR7G3,6,OR7G3
ORC1,6,ORC1
ORC4,6,ORC4
OSBP,6,OSBP
OSBPL11,6,OSBPL11
OTOL1,6,OTOL1
OXSR1,6,OXSR1
PADI6,6,PADI6
PALM,6,PALM
PAM,6,PAM
PAPLN,6,PAPLN
PAPOLA,6,PAPOLA
PARP3,6,PARP3
PAXIP1,6,PAXIP1
PBX3,6,PBX3
PCMTD1,6,PCMTD1
PDCL3,6,PDCL3
PDE8B,6,PDE8B
PDE9A,6,PDE9A
PDGFD,6,PDGFD
PDK1,6,PDK1
PDLIM5,6,PDLIM5
PDPR,6,PDPR
PDZD4,6,PDZD4
PFKFB1,6,PFKFB1
PFKFB3,6,PFKFB3
PGBD5,6,PGBD5
PGK1,6,PGK1
PGM2L1,6,PGM2L1
PHF2,6,PHF2
PHLDB3,6,PHLDB3
PHLPP1,6,PHLPP1
PHOX2B,6,PHOX2B
PHTF2,6,PHTF2
PHYHIPL,6,PHYHIPL
PIAS2,6,PIAS2
PIAS3,6,PIAS3
PIGA,6,PIGA
PIGQ,6,PIGQ
PIM2,6,PIM2
PIP5K1B,6,PIP5K1B
PITPNC1,6,PITPNC1
PITPNM2,6,PITPNM2
PITX2,6,PITX2
PLA2G3,6,PLA2G3
PLAGL2,6,PLAGL2
PLBD2,6,PLBD2
PLCD4,6,PLCD4
PLCG1,6,PLCG1
PLEK,6,PLEK
PLEKHA5,6,PLEKHA5
PLEKHB2,6,PLEKHB2
PLEKHG1,6,PLEKHG1
PLEKHH1,6,PLEKHH1
PLEKHH3,6,PLEKHH3
PLEKHO1,6,PLEKHO1
PLIN4,6,PLIN4
PLK2,6,PLK2
PLOD1,6,PLOD1
PLSCR5,6,PLSCR5
PLTP,6,PLTP
PMS2,6,PMS2
PNPLA8,6,PNPLA8
PODN,6,PODN
POLL,6,POLL
POU2F2,6,POU2F2
PPFIA1,6,PPFIA1
PPFIBP2,6,PPFIBP2
PPM1E,6,PPM1E
PPM1H,6,PPM1H
PPP1CB,6,PPP1CB
PPP1R10,6,PPP1R10
PPP1R12A,6,PPP1R12A
PPP2R5D,6,PPP2R5D
PPP4R4,6,PPP4R4
PRAMEF1,6,PRAMEF1
PRDM1,6,PRDM1
PRDM7,6,PRDM7
PRKAA1,6,PRKAA1
PRKRIR,6,PRKRIR
PRMT5,6,PRMT5
PRMT6,6,PRMT6
PROM1,6,PROM1
PRPF3,6,PRPF3
PRR23B,6,PRR23B
PRRG3,6,PRRG3
PSEN1,6,PSEN1
PSMB11,6,PSMB11
PSMD3,6,PSMD3
PTCH2,6,PTCH2
PTEN,6,PTEN
PTGFRN,6,PTGFRN
PTGIR,6,PTGIR
PTH1R,6,PTH1R
PTPN11,6,PTPN11
PTPN20,6,PTPN20
PTPN22,6,PTPN22
PTPN6,6,PTPN6
PTX4,6,PTX4
PUM1,6,PUM1
PVRL3,6,PVRL3
PVRL4,6,PVRL4
PXYLP1,6,PXYLP1
PYGO2,6,PYGO2
PYROXD1,6,PYROXD1
QARS,6,QARS
QRICH2,6,QRICH2
QTRT1,6,QTRT1
RAB11FIP2,6,RAB11FIP2
RAB11FIP5,6,RAB11FIP5
RAB3IL1,6,RAB3IL1
RABEPK,6,RABEPK
RABGGTB,6,RABGGTB
